,init_value,est_value
KiP5_sc,0.2455258772482905,0.20101330206301044
VmaxM2_byN2,0.5185749209654097,0.005399068714727664
hillM2_byN2,2.0,9.99999167251334
KmM2_byN2,0.5777140173284766,0.9057854941345658
degradP5_byM2,0.9497546432463713,2.2727494085223388
degradP5p_byM2,0.14109486494262485,4.6431344636697533e-14
hillP5_byM2,2.0,1.0064768616041158
KmP5_byM2,0.06352258304726344,6.008795232126104e-95
hillP5p_byM2,2.0,9.996821897604216
KmP5p_byM2,0.6680395776118574,980.9953742873889
degradD_byP5,0.009909527110307837,0.009909527110307837
degradP5,2988803.7298598043,1731291.595039253
degradP5p,0.7974736163231825,0.8727465977272998
degradM2,0.46401899801820895,0.11438410511112798
degradP2,0.10318502178820262,0.10318502178820262
degradB2,0.08548786408821893,0.08548786408821893
degradK1,0.02455192828244995,0.02455192828244995
degradN2,0.18675545260171636,0.18675545260171636
degradS1,0.04699074966476474,0.04699074966476474
